	void	main	(	)	{	}	int	return	;	array	[	]	float	bool	long	string	if	then	else	for	,	scanf	printf	='	l	nb	real	id	= ='	<	>	+	-	*	/	++	--	"%	"	&	d	f	c	s	$	S	P	D	T	I	A	E	F
55	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	r40	err	err	err	err	err	err	err	err	err	err	err	err	err	err
56	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	r41	err	err	err	err	err	err	err	err	err	err	err	err	err	err
57	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	r42	err	err	err	err	err	err	err	err	err	err	err	err	err	err
58	err	err	err	r37	err	r37	err	err	r37	r37	err	r37	err	err	err	err	err	err	err	err	 r37	err	err	r37	err	err	err	err	r37	r37	r37	r37	r37	r37	r37	r37	r37	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
59	err	err	err	s80	err	err	err	err	s48	err	err	err	err	err	err	err	err	err	err	err	s49	err	err	err	err	err	err	err	s41	s42	s43	s44	s45	s46	s47	s50	s51	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
60	err	err	err	err	err	err	err	err	s81	err	err	err	err	err	err	err	err	err	err	err	s49	err	err	err	err	err	err	err	s41	s42	s43	s44	s45	s46	s47	s50	s51	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
61	err	err	s30	err	err	r3	err	r3	err	err	err	err	err	err	err	err	s35	err	err	s36	err	s37	s38	err	s24	s25	s26	s27	err	err	err	err	err	err	err	err	err	s28	err	s29	err	err	err	err	err	err	err	err	err	82	34	39	err
62	err	err	err	err	err	err	s15	err	err	err	err	err	s16	s17	s18	s19	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	33	14	err	err	err	err
63	err	err	s30	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	s24	s25	s26	s27	err	err	err	err	err	err	err	err	err	s28	err	s29	err	err	err	err	err	err	err	err	err	err	err	83	err
64	err	err	s30	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	s24	s25	s26	s27	err	err	err	err	err	err	err	err	err	s28	err	s29	err	err	err	err	err	err	err	err	err	err	84	39	err
